Year,RWI,PDSI
1895,0.573526173,-2.173
1896,0.727211583,-2.237
1897,0.807556231,-0.95
1898,0.745478825,0.04
1899,0.766779783,-2.69
1900,0.684639732,-3.253
1901,0.80253182,1.403
1902,1.257336821,1.443
1903,1.216404121,1.893
1904,1.277419602,2.47
1905,1.148979841,1.96
1906,1.06606157,1.253
1907,0.890817329,-0.21
1908,1.053837011,0.803
1909,0.758727381,-2.507
1910,0.775224798,-2.713
1911,0.825555496,-2.497
1912,0.917938145,-1.19
1913,0.910052442,-0.98
1914,0.813172903,1.43
1915,1.032668755,1.173
1916,1.003981095,0.38
1917,1.079203333,2.437
1918,0.964974293,-0.76
1919,1.003850241,-0.28
1920,1.025376724,-1.753
1921,0.897494284,-3.297
1922,1.140717888,2.133
1923,0.934788092,-1.563
1924,1.0015529,1.207
1925,1.025680097,0.697
1926,0.879768124,-0.147
1927,0.898167104,0.28
1928,0.960149272,2.61
1929,0.916248335,-0.31
1930,0.976890636,-0.617
1931,1.068767454,-2.963
1932,1.019683459,-1.79
1933,0.847086248,-1.843
1934,0.866170997,-4.163
1935,1.150702503,1.87
1936,0.782799163,-2.49
1937,1.005889211,1.64
1938,1.080670697,0.027
1939,1.097811041,-1.78
1940,1.239629392,1.627
1941,0.921585691,-2.103
1942,1.139261374,-0.173
1943,1.063953803,2.697
1944,1.090012015,-0.14
1945,1.079990604,1.53
1946,1.089950144,0.813
1947,1.270728993,3.177
1948,1.026479947,0.35
1949,0.905604035,-2.117
1950,1.178223006,0.64
1951,1.134429026,0.147
1952,0.902929921,-1.003
1953,1.030540742,-1.057
1954,0.938934885,-1.51
1955,0.856702014,-1.803
1956,1.078067796,2.5
1957,1.082417575,0.187
1958,1.196267934,1.993
1959,0.899152754,-1.447
1960,0.961872982,-0.503
1961,1.163845924,2.603
1962,0.931349263,-2.877
1963,0.881010839,-2.36
1964,0.950329627,-2.13
1965,0.775233459,-4.617
1966,0.807068945,-2.273
1967,0.918044718,-0.06
1968,1.051784365,0.897
1969,1.17671943,0.187
1970,1.022078729,0.083
1971,1.065464219,-0.633
1972,1.143727714,3.823
1973,0.924025013,-0.587
1974,1.006438519,0.96
1975,1.099533875,1.637
1976,1.039956174,4.57
1977,1.01003315,0.047
1978,0.962184854,-1.65
1979,1.043821495,-0.593
1980,1.235601821,-0.267
1981,1.001578766,0.46
1982,1.107883109,0.05
1983,0.970165967,-0.923
1984,0.985625327,1.933
1985,0.956341233,-1.257
1986,0.990469607,2.013
1987,0.92700954,0.66
1988,0.865833663,-1.66
1989,1.028073618,1.803
1990,0.964451382,1.72
1991,0.731199106,-2.103
1992,1.017805188,2.463
1993,0.985637846,2.173
1994,0.968910051,1.857
1995,1.06228463,-2.87
1996,1.114663744,2.63
1997,1.006761626,1.83
1998,1.208340226,1.74
1999,0.89106434,-2.883
2000,1.143175865,2.003
2001,0.967977363,-2.137
2002,1.017807478,0.03
2003,0.939119787,1.27
2004,1.144768221,3.63
2005,1.005133964,2.343
2006,1.082624145,2.54
2007,0.999265143,-1.547
2008,1.027525746,1.643
2009,1.291538119,2.413
2010,1.08475905,1.697
2011,1.038537644,3.037
2012,0.98940944,-2.22
2013,1.090214605,1.82
2014,1.090300464,3.44
2015,1.199810287,2.843
