Year,Value,Sample_Depth
1808,0.196218117,1
1809,0.138750709,1
1810,0.160544164,1
1811,0.398233299,1
1812,0.327130594,1
1813,0.301273205,1
1814,0.317649452,1
1815,0.473391577,1
1816,0.70779129,1
1817,1.436524879,1
1818,0.644475243,2
1819,0.75975933,2
1820,0.490416985,2
1821,0.614424157,2
1822,0.308355767,2
1823,0.389730738,2
1824,0.437986858,2
1825,0.721167254,3
1826,0.794526611,3
1827,0.798190328,3
1828,0.908056096,3
1829,0.890160974,3
1830,1.001817635,4
1831,0.732831896,4
1832,0.648832982,4
1833,0.65656922,5
1834,0.763854397,5
1835,0.599799869,5
1836,0.626503734,5
1837,0.712956249,6
1838,0.562418587,6
1839,0.570559761,6
1840,0.521782033,6
1841,0.624915168,6
1842,0.493592879,6
1843,0.514599511,6
1844,0.453131249,7
1845,0.501839258,8
1846,0.521580455,8
1847,0.485493818,8
1848,0.527711008,8
1849,0.526832071,8
1850,0.521873911,8
1851,0.520418238,8
1852,0.605402203,8
1853,0.4724418,8
1854,0.489686536,8
1855,0.555730346,9
1856,0.529912907,9
1857,0.481305503,9
1858,0.471023809,9
1859,0.674444033,9
1860,0.695231617,9
1861,0.859328713,9
1862,0.681118322,9
1863,0.68937848,9
1864,0.53844977,9
1865,0.482587266,9
1866,0.481225791,9
1867,0.411069891,9
1868,0.380025892,9
1869,0.712122852,10
1870,0.562821934,11
1871,0.52949328,11
1872,0.515105317,11
1873,0.597039945,11
1874,0.70608308,12
1875,0.657345248,12
1876,0.662458764,12
1877,0.676645557,13
1878,0.889817564,14
1879,0.747309189,15
1880,0.679367956,16
1881,0.756147583,16
1882,0.663167491,16
1883,0.744341024,16
1884,0.718640597,16
1885,0.801835862,16
1886,0.607596763,16
1887,0.726048599,16
1888,0.69315048,16
1889,0.971712068,16
1890,0.732608164,16
1891,0.766767681,16
1892,0.793174784,17
1893,0.601315461,17
1894,0.598956851,18
1895,0.573526173,19
1896,0.727211583,21
1897,0.807556231,21
1898,0.745478825,21
1899,0.766779783,21
1900,0.684639732,21
1901,0.80253182,22
1902,1.257336821,22
1903,1.216404121,22
1904,1.277419602,22
1905,1.148979841,23
1906,1.06606157,23
1907,0.890817329,27
1908,1.053837011,29
1909,0.758727381,30
1910,0.775224798,30
1911,0.825555496,31
1912,0.917938145,31
1913,0.910052442,31
1914,0.813172903,33
1915,1.032668755,33
1916,1.003981095,34
1917,1.079203333,35
1918,0.964974293,36
1919,1.003850241,37
1920,1.025376724,37
1921,0.897494284,37
1922,1.140717888,37
1923,0.934788092,37
1924,1.0015529,37
1925,1.025680097,38
1926,0.879768124,39
1927,0.898167104,39
1928,0.960149272,40
1929,0.916248335,42
1930,0.976890636,42
1931,1.068767454,42
1932,1.019683459,43
1933,0.847086248,44
1934,0.866170997,45
1935,1.150702503,46
1936,0.782799163,46
1937,1.005889211,46
1938,1.080670697,47
1939,1.097811041,47
1940,1.239629392,47
1941,0.921585691,47
1942,1.139261374,48
1943,1.063953803,48
1944,1.090012015,48
1945,1.079990604,49
1946,1.089950144,50
1947,1.270728993,50
1948,1.026479947,50
1949,0.905604035,52
1950,1.178223006,52
1951,1.134429026,53
1952,0.902929921,53
1953,1.030540742,54
1954,0.938934885,54
1955,0.856702014,54
1956,1.078067796,54
1957,1.082417575,54
1958,1.196267934,55
1959,0.899152754,55
1960,0.961872982,55
1961,1.163845924,55
1962,0.931349263,55
1963,0.881010839,55
1964,0.950329627,56
1965,0.775233459,58
1966,0.807068945,59
1967,0.918044718,59
1968,1.051784365,59
1969,1.17671943,59
1970,1.022078729,59
1971,1.065464219,60
1972,1.143727714,61
1973,0.924025013,62
1974,1.006438519,62
1975,1.099533875,62
1976,1.039956174,62
1977,1.01003315,62
1978,0.962184854,64
1979,1.043821495,64
1980,1.235601821,64
1981,1.001578766,64
1982,1.107883109,64
1983,0.970165967,64
1984,0.985625327,64
1985,0.956341233,64
1986,0.990469607,65
1987,0.92700954,65
1988,0.865833663,66
1989,1.028073618,66
1990,0.964451382,67
1991,0.731199106,67
1992,1.017805188,68
1993,0.985637846,68
1994,0.968910051,68
1995,1.06228463,68
1996,1.114663744,68
1997,1.006761626,68
1998,1.208340226,68
1999,0.89106434,68
2000,1.143175865,68
2001,0.967977363,68
2002,1.017807478,68
2003,0.939119787,68
2004,1.144768221,68
2005,1.005133964,68
2006,1.082624145,68
2007,0.999265143,68
2008,1.027525746,68
2009,1.291538119,68
2010,1.08475905,68
2011,1.038537644,68
2012,0.98940944,68
2013,1.090214605,68
2014,1.090300464,68
2015,1.199810287,68
2016,0.914455495,68
2017,1.097532063,68
