"AllReleasesYear","AllReleasesFreq","NumberOfAllReleses","ModerateReleasesFreq","NumberOfModeraeReleases","NumberOfAllTrees"
"1824",33.33,1,0,0,3
"1830",16.67,1,0,0,6
"1841",14.29,1,0,0,7
"1842",14.29,1,0,0,7
"1859",9.09,1,0,0,11
"1860",9.09,1,0,0,11
"1863",9.09,1,0,0,11
"1868",7.69,1,0,0,13
"1872",7.69,1,0,0,13
"1875",14.29,2,7.14,1,14
"1879",5.56,1,0,0,18
"1882",5,1,0,0,20
"1894",4.76,1,0,0,21
"1896",4.55,1,0,0,22
"1901",8,2,4,1,25
"1903",8,2,0,0,25
"1905",4,1,0,0,25
"1912",3.33,1,0,0,30
"1914",3.12,1,0,0,32
"1916",3.12,1,0,0,32
"1918",2.94,1,0,0,34
"1922",5.71,2,0,0,35
"1924",2.86,1,0,0,35
"1925",2.86,1,0,0,35
"1927",2.78,1,0,0,36
"1928",2.7,1,0,0,37
"1930",7.89,3,5.26,2,38
"1931",2.63,1,0,0,38
"1934",4.88,2,2.44,1,41
"1936",4.76,2,2.38,1,42
"1937",4.76,2,0,0,42
"1938",2.33,1,0,0,43
"1942",2.33,1,0,0,43
"1945",4.55,2,2.27,1,44
"1948",2.22,1,0,0,45
"1949",2.17,1,0,0,46
"1955",2.08,1,0,0,48
"1957",6.25,3,4.17,2,48
"1958",4.08,2,0,0,49
"1960",2.04,1,0,0,49
"1961",2.04,1,0,0,49
"1964",2.04,1,0,0,49
"1965",1.96,1,0,0,51
"1967",3.77,2,1.89,1,53
"1968",5.66,3,3.77,2,53
"1969",1.89,1,0,0,53
"1970",1.89,1,0,0,53
"1973",1.79,1,0,0,56
"1974",1.79,1,0,0,56
"1979",8.47,5,5.08,3,59
"1985",1.69,1,0,0,59
"1990",3.17,2,1.59,1,63
"1991",6.35,4,4.76,3,63
"1994",4.69,3,0,0,64
"1996",1.56,1,0,0,64
"1997",1.56,1,0,0,64
"1999",1.56,1,0,0,64
"2001",3.12,2,0,0,64
"2003",1.56,1,0,0,64
"2004",1.56,1,0,0,64
"2005",1.56,1,0,0,64
